Ground Points:
Point 464: X=42.938, Y=518.817, Z=1931.000
Point 465: X=46.252, Y=518.817, Z=1931.000
Point 466: X=49.566, Y=518.817, Z=1931.000
Point 467: X=52.881, Y=518.817, Z=1931.000
Point 468: X=56.195, Y=518.817, Z=1931.000
Point 469: X=59.509, Y=518.817, Z=1931.000
Point 470: X=63.149, Y=521.503, Z=1941.000
Point 471: X=66.480, Y=521.503, Z=1941.000
Point 472: X=69.812, Y=521.503, Z=1941.000
Point 473: X=73.143, Y=521.503, Z=1941.000
Point 474: X=76.475, Y=521.503, Z=1941.000
Point 475: X=864.887, Y=518.817, Z=1931.000
Point 476: X=874.830, Y=518.817, Z=1931.000
Point 477: X=878.145, Y=518.817, Z=1931.000
Point 478: X=924.545, Y=518.817, Z=1931.000
Point 479: X=927.859, Y=518.817, Z=1931.000
Point 480: X=931.174, Y=518.817, Z=1931.000
Point 481: X=934.488, Y=518.817, Z=1931.000
Point 482: X=937.802, Y=518.817, Z=1931.000
Point 483: X=941.117, Y=518.817, Z=1931.000
Point 484: X=980.888, Y=518.817, Z=1931.000
Point 485: X=-213.364, Y=524.835, Z=1941.000
Point 486: X=-208.950, Y=522.131, Z=1931.000
Point 487: X=-205.636, Y=522.131, Z=1931.000
Point 488: X=-202.321, Y=522.131, Z=1931.000
Point 489: X=-199.007, Y=522.131, Z=1931.000
Point 490: X=-196.706, Y=524.835, Z=1941.000
Point 491: X=-193.375, Y=524.835, Z=1941.000
Point 492: X=-190.043, Y=524.835, Z=1941.000
Point 493: X=-186.712, Y=524.835, Z=1941.000
Point 494: X=-183.380, Y=524.835, Z=1941.000
Point 495: X=-180.049, Y=524.835, Z=1941.000
Point 496: X=-176.717, Y=524.835, Z=1941.000
Point 497: X=-173.386, Y=524.835, Z=1941.000
Point 498: X=-169.178, Y=522.131, Z=1931.000
Point 499: X=-165.864, Y=522.131, Z=1931.000
Point 500: X=-162.550, Y=522.131, Z=1931.000
Point 501: X=-159.235, Y=522.131, Z=1931.000
Point 502: X=-155.921, Y=522.131, Z=1931.000
Point 503: X=-152.607, Y=522.131, Z=1931.000
Point 504: X=-149.292, Y=522.131, Z=1931.000
Point 505: X=-145.978, Y=522.131, Z=1931.000
Point 506: X=-142.664, Y=522.131, Z=1931.000
Point 507: X=-139.349, Y=522.131, Z=1931.000
Point 508: X=-136.035, Y=522.131, Z=1931.000
Point 509: X=-132.721, Y=522.131, Z=1931.000
Point 510: X=-129.407, Y=522.131, Z=1931.000
Point 511: X=-126.092, Y=522.131, Z=1931.000
Point 512: X=-122.778, Y=522.131, Z=1931.000
Point 513: X=-119.464, Y=522.131, Z=1931.000
Point 514: X=-116.149, Y=522.131, Z=1931.000
Point 515: X=-112.835, Y=522.131, Z=1931.000
Point 516: X=-109.521, Y=522.131, Z=1931.000
Point 517: X=-106.206, Y=522.131, Z=1931.000
Point 518: X=-102.892, Y=522.131, Z=1931.000
Point 519: X=-99.578, Y=522.131, Z=1931.000
Point 520: X=-96.263, Y=522.131, Z=1931.000
Point 521: X=-92.949, Y=522.131, Z=1931.000
Point 522: X=-89.635, Y=522.131, Z=1931.000
